,language,position,gender_tuned,income_level,price
376,Italian,30,male,33228.23668,21
377,Italian,59,male,33228.23668,21
378,Italian,75,female,33228.23668,15
379,Italian,28,female,33228.23668,15
380,Italian,42,male,33228.23668,18
381,Italian,123,male,33228.23668,21
382,Italian,2,female,33228.23668,15
383,Italian,69,female,33228.23668,24
384,Italian,5,male,33228.23668,30
385,Italian,1,female,33228.23668,21
386,Italian,48,male,33228.23668,18
387,Italian,52,female,33228.23668,27
388,Italian,4,female,33228.23668,21
389,Italian,50,female,33228.23668,21
390,Italian,54,female,33228.23668,12
391,Italian,70,male,33228.23668,21
392,Italian,60,female,33228.23668,0
393,Italian,61,male,33228.23668,36
394,Italian,16,female,33228.23668,0
395,Italian,99,female,33228.23668,24
396,Italian,87,female,33228.23668,21
397,Italian,115,female,33228.23668,18
398,Italian,86,female,33228.23668,18
399,Italian,102,female,33228.23668,15
400,Italian,79,male,33228.23668,15
401,Italian,55,male,33228.23668,15
402,Italian,97,female,33228.23668,21
403,Italian,117,female,33228.23668,18
404,Italian,93,male,33228.23668,15
405,Italian,25,female,33228.23668,27
406,Italian,39,male,33228.23668,18
407,Italian,37,female,33228.23668,30
408,Italian,44,male,33228.23668,9
409,Italian,68,female,33228.23668,21
410,Italian,126,female,33228.23668,30
411,Italian,64,female,33228.23668,21
412,Italian,41,female,33228.23668,18
413,Italian,17,female,33228.23668,21
414,Italian,92,male,33228.23668,15
415,Russian,21,female,6663.295293,18
416,Russian,18,female,11584.99538,12
417,Russian,94,female,11584.99538,12
418,Russian,73,male,11584.99538,15
419,Russian,83,male,11584.99538,9
420,Russian,23,female,3659.031312,15
421,Russian,24,female,11584.99538,33
422,Russian,77,female,11584.99538,15
423,Russian,89,female,11584.99538,18
424,Russian,11,female,65297.51751,9
425,Russian,80,female,6663.295293,15
426,Russian,34,female,3659.031312,15
427,Russian,90,male,11584.99538,9
428,Russian,76,female,11584.99538,15
429,Russian,40,female,4697.704576,12
430,Russian,6,female,11584.99538,24
431,Russian,58,female,6663.295293,27
432,Russian,81,female,11584.99538,42
433,Russian,13,female,3659.031312,0
434,Russian,95,female,11584.99538,15
435,Russian,29,male,11584.99538,12
436,Russian,12,female,11584.99538,21
437,Russian,53,female,11584.99538,21
438,Russian,35,female,11584.99538,21
439,Russian,56,female,11584.99538,15
440,Russian,96,female,11584.99538,15
441,Russian,36,female,11584.99538,18
442,Russian,66,female,11584.99538,15
443,Russian,67,female,11584.99538,9
444,Russian,49,female,11584.99538,15
445,Russian,8,female,11584.99538,9
446,Russian,3,male,4622.733493,15
447,Russian,38,female,11584.99538,21
448,Russian,57,male,6663.295293,15
449,Russian,88,female,11584.99538,15
450,Russian,7,female,11584.99538,9
451,Russian,15,female,11584.99538,12
452,Russian,98,female,9812.390376,12
453,Russian,9,female,11584.99538,18
454,Russian,32,female,11584.99538,39
455,Russian,26,female,11584.99538,12
456,Russian,62,female,11584.99538,30
457,Russian,31,female,3659.031312,9
458,Russian,27,female,11584.99538,9
459,Russian,47,male,11584.99538,0
460,Russian,43,female,3659.031312,6
